CustomerID,Lookalikes
C0001,"[('C0103', 0.9909419845675972), ('C0137', 0.9589202544085182), ('C0056', 0.954715953371692)]"
C0002,"[('C0029', 0.9998519555573054), ('C0077', 0.9975987068385926), ('C0032', 0.9931786546349639)]"
C0003,"[('C0060', 0.9877398568640355), ('C0142', 0.9851097417374808), ('C0151', 0.984571819667784)]"
C0004,"[('C0075', 0.9973388381191518), ('C0108', 0.9935046737320785), ('C0165', 0.9876873817311478)]"
C0005,"[('C0061', 0.9992799095725294), ('C0020', 0.9984927725743142), ('C0130', 0.9981479328393232)]"
C0006,"[('C0079', 0.9877719427172952), ('C0168', 0.9734088735955871), ('C0196', 0.9674349013528097)]"
C0007,"[('C0085', 0.9999705576683089), ('C0125', 0.9989688198998162), ('C0133', 0.9904541812630817)]"
C0008,"[('C0194', 0.9904833583175433), ('C0179', 0.990320566004235), ('C0084', 0.9899017499506719)]"
C0009,"[('C0192', 0.9995346235680215), ('C0128', 0.98600218400821), ('C0005', 0.9615020005442189)]"
C0010,"[('C0121', 0.9978231683827079), ('C0142', 0.9941284201370691), ('C0152', 0.9933241037885311)]"
C0011,"[('C0183', 0.9982952290309061), ('C0187', 0.994723280633797), ('C0196', 0.9831784270673846)]"
C0012,"[('C0065', 0.9991869484542973), ('C0068', 0.9942959614307424), ('C0101', 0.992676639818437)]"
C0013,"[('C0051', 0.9983151047122842), ('C0059', 0.99775798157383), ('C0126', 0.9974606690922955)]"
C0014,"[('C0062', 0.9974483166919728), ('C0097', 0.9972700762753406), ('C0197', 0.9953314944425629)]"
C0015,"[('C0058', 0.9987251702548383), ('C0186', 0.9941526453918075), ('C0131', 0.9918473432471959)]"
C0016,"[('C0048', 0.9990646303873859), ('C0107', 0.9986526922994868), ('C0187', 0.9761800647373319)]"
C0017,"[('C0113', 0.9992383958692588), ('C0090', 0.9957355591739595), ('C0109', 0.9941662801178015)]"
C0018,"[('C0182', 0.9481881021177561), ('C0053', 0.9109136260941907), ('C0149', 0.8585343447789581)]"
C0019,"[('C0172', 0.9394659869416565), ('C0119', 0.8763255217797271), ('C0088', 0.8712436013687239)]"
C0020,"[('C0061', 0.9995472322818648), ('C0167', 0.9989416622802376), ('C0005', 0.9984927725743142)]"
